"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Mar 19 20:44:32 GMT 2025","Wed Mar 19 20:44:37 GMT 2025","5225","chromium","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 20:44:38 GMT 2025","Wed Mar 19 20:44:40 GMT 2025","1413","firefox","example.spec.js","","","","Test#2 | get started link",""
"failed","Wed Mar 19 20:45:14 GMT 2025","Wed Mar 19 20:45:20 GMT 2025","5491","Mobile Safari","example.spec.js","","","","Test#1 | has title",""
"failed","Wed Mar 19 20:44:58 GMT 2025","Wed Mar 19 20:45:04 GMT 2025","5218","Mobile Chrome","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 20:45:04 GMT 2025","Wed Mar 19 20:45:05 GMT 2025","859","Mobile Safari","example.spec.js","","","","Test#2 | get started link",""
"failed","Wed Mar 19 20:44:54 GMT 2025","Wed Mar 19 20:45:00 GMT 2025","5539","webkit","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 20:44:44 GMT 2025","Wed Mar 19 20:44:45 GMT 2025","986","webkit","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 20:44:20 GMT 2025","Wed Mar 19 20:44:20 GMT 2025","509","chromium","example.spec.js","","","","Test#2 | get started link",""
"failed","Wed Mar 19 20:45:19 GMT 2025","Wed Mar 19 20:45:24 GMT 2025","5411","Microsoft Edge","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 20:45:20 GMT 2025","Wed Mar 19 20:45:21 GMT 2025","634","Microsoft Edge","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 20:45:00 GMT 2025","Wed Mar 19 20:45:01 GMT 2025","395","Mobile Chrome","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 20:45:25 GMT 2025","Wed Mar 19 20:45:26 GMT 2025","476","Google Chrome","example.spec.js","","","","Test#2 | get started link",""
"failed","Wed Mar 19 20:45:39 GMT 2025","Wed Mar 19 20:45:44 GMT 2025","5276","Google Chrome","example.spec.js","","","","Test#1 | has title",""
"failed","Wed Mar 19 20:44:37 GMT 2025","Wed Mar 19 20:44:43 GMT 2025","6265","firefox","example.spec.js","","","","Test#1 | has title",""
