"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 19 19:47:17 GMT 2025","Wed Mar 19 19:47:18 GMT 2025","930","webkit","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 19:47:22 GMT 2025","Wed Mar 19 19:47:23 GMT 2025","1224","Mobile Safari","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 19:47:13 GMT 2025","Wed Mar 19 19:47:15 GMT 2025","1551","firefox","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 19:47:12 GMT 2025","Wed Mar 19 19:47:13 GMT 2025","604","chromium","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 19:47:29 GMT 2025","Wed Mar 19 19:47:35 GMT 2025","5376","Google Chrome","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 19:47:21 GMT 2025","Wed Mar 19 19:47:21 GMT 2025","519","Mobile Chrome","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 19:47:19 GMT 2025","Wed Mar 19 19:47:20 GMT 2025","410","Mobile Chrome","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 19:47:22 GMT 2025","Wed Mar 19 19:47:23 GMT 2025","872","Microsoft Edge","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 19:47:21 GMT 2025","Wed Mar 19 19:47:21 GMT 2025","662","Mobile Safari","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 19:47:24 GMT 2025","Wed Mar 19 19:47:25 GMT 2025","643","Microsoft Edge","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 19:47:12 GMT 2025","Wed Mar 19 19:47:12 GMT 2025","386","chromium","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 19:47:31 GMT 2025","Wed Mar 19 19:47:35 GMT 2025","4615","Google Chrome","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 19:47:13 GMT 2025","Wed Mar 19 19:47:15 GMT 2025","1905","firefox","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 19:47:18 GMT 2025","Wed Mar 19 19:47:20 GMT 2025","1952","webkit","example.spec.js","","","","Test#2 | get started link",""
