"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 19 19:24:02 GMT 2025","Wed Mar 19 19:24:02 GMT 2025","492","Mobile Chrome","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 19:23:51 GMT 2025","Wed Mar 19 19:23:56 GMT 2025","4188","firefox","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 19:24:19 GMT 2025","Wed Mar 19 19:24:20 GMT 2025","973","Google Chrome","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 19:24:01 GMT 2025","Wed Mar 19 19:24:01 GMT 2025","341","Mobile Chrome","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 19:23:58 GMT 2025","Wed Mar 19 19:24:01 GMT 2025","3140","webkit","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 19:24:02 GMT 2025","Wed Mar 19 19:24:03 GMT 2025","745","Mobile Safari","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 19:23:51 GMT 2025","Wed Mar 19 19:23:54 GMT 2025","2855","firefox","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 19:23:50 GMT 2025","Wed Mar 19 19:23:50 GMT 2025","403","chromium","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 19:24:03 GMT 2025","Wed Mar 19 19:24:04 GMT 2025","1105","Mobile Safari","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 19:23:50 GMT 2025","Wed Mar 19 19:23:50 GMT 2025","589","chromium","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 19:23:57 GMT 2025","Wed Mar 19 19:23:58 GMT 2025","1595","webkit","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 19:24:05 GMT 2025","Wed Mar 19 19:24:09 GMT 2025","4467","Microsoft Edge","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 19:24:19 GMT 2025","Wed Mar 19 19:24:20 GMT 2025","738","Google Chrome","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 19:24:05 GMT 2025","Wed Mar 19 19:24:10 GMT 2025","4717","Microsoft Edge","example.spec.js","","","","Test#2 | get started link",""
