"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Mar 19 20:31:19 GMT 2025","Wed Mar 19 20:31:19 GMT 2025","6","webkit","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 20:31:24 GMT 2025","Wed Mar 19 20:31:43 GMT 2025","19765","Microsoft Edge","example.spec.js","","","","Test#1 | has title",""
"failed","Wed Mar 19 20:31:15 GMT 2025","Wed Mar 19 20:31:15 GMT 2025","5","chromium","example.spec.js","","","","Test#2 | get started link",""
"failed","Wed Mar 19 20:31:23 GMT 2025","Wed Mar 19 20:31:23 GMT 2025","6","Mobile Safari","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 20:32:16 GMT 2025","Wed Mar 19 20:32:19 GMT 2025","2764","Google Chrome","example.spec.js","","","","Test#1 | has title",""
"failed","Wed Mar 19 20:31:21 GMT 2025","Wed Mar 19 20:31:21 GMT 2025","6","Mobile Chrome","example.spec.js","","","","Test#2 | get started link",""
"failed","Wed Mar 19 20:31:19 GMT 2025","Wed Mar 19 20:31:19 GMT 2025","7","webkit","example.spec.js","","","","Test#1 | has title",""
"failed","Wed Mar 19 20:31:15 GMT 2025","Wed Mar 19 20:31:15 GMT 2025","6","chromium","example.spec.js","","","","Test#1 | has title",""
"failed","Wed Mar 19 20:31:21 GMT 2025","Wed Mar 19 20:31:21 GMT 2025","5","Mobile Chrome","example.spec.js","","","","Test#1 | has title",""
"failed","Wed Mar 19 20:31:23 GMT 2025","Wed Mar 19 20:31:23 GMT 2025","5","Mobile Safari","example.spec.js","","","","Test#1 | has title",""
"failed","Wed Mar 19 20:31:17 GMT 2025","Wed Mar 19 20:31:17 GMT 2025","5","firefox","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 20:32:16 GMT 2025","Wed Mar 19 20:32:19 GMT 2025","2968","Google Chrome","example.spec.js","","","","Test#2 | get started link",""
"failed","Wed Mar 19 20:31:17 GMT 2025","Wed Mar 19 20:31:17 GMT 2025","6","firefox","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 20:31:24 GMT 2025","Wed Mar 19 20:31:44 GMT 2025","20250","Microsoft Edge","example.spec.js","","","","Test#2 | get started link",""
