"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 19 19:34:05 GMT 2025","Wed Mar 19 19:34:06 GMT 2025","471","Google Chrome","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 19:34:02 GMT 2025","Wed Mar 19 19:34:02 GMT 2025","324","Google Chrome","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 19:33:52 GMT 2025","Wed Mar 19 19:33:53 GMT 2025","1422","firefox","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 19:33:51 GMT 2025","Wed Mar 19 19:33:51 GMT 2025","524","chromium","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 19:33:56 GMT 2025","Wed Mar 19 19:33:57 GMT 2025","1225","webkit","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 19:33:57 GMT 2025","Wed Mar 19 19:33:57 GMT 2025","365","Mobile Chrome","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 19:33:58 GMT 2025","Wed Mar 19 19:33:59 GMT 2025","495","Mobile Chrome","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 19:33:58 GMT 2025","Wed Mar 19 19:33:59 GMT 2025","696","Mobile Safari","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 19:33:55 GMT 2025","Wed Mar 19 19:33:56 GMT 2025","630","webkit","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 19:33:59 GMT 2025","Wed Mar 19 19:34:01 GMT 2025","1317","Mobile Safari","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 19:34:00 GMT 2025","Wed Mar 19 19:34:00 GMT 2025","637","Microsoft Edge","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 19:33:51 GMT 2025","Wed Mar 19 19:33:51 GMT 2025","363","chromium","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 19:34:01 GMT 2025","Wed Mar 19 19:34:01 GMT 2025","739","Microsoft Edge","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 19:33:52 GMT 2025","Wed Mar 19 19:33:54 GMT 2025","1881","firefox","example.spec.js","","","","Test#2 | get started link",""
