"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 19 19:29:18 GMT 2025","Wed Mar 19 19:29:19 GMT 2025","715","webkit","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 19:29:21 GMT 2025","Wed Mar 19 19:29:22 GMT 2025","561","Mobile Chrome","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 19:29:19 GMT 2025","Wed Mar 19 19:29:20 GMT 2025","1411","webkit","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 19:29:24 GMT 2025","Wed Mar 19 19:29:24 GMT 2025","735","Microsoft Edge","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 19:29:15 GMT 2025","Wed Mar 19 19:29:17 GMT 2025","1853","firefox","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 19:29:28 GMT 2025","Wed Mar 19 19:29:29 GMT 2025","572","Google Chrome","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 19:29:13 GMT 2025","Wed Mar 19 19:29:14 GMT 2025","420","chromium","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 19:29:25 GMT 2025","Wed Mar 19 19:29:25 GMT 2025","373","Google Chrome","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 19:29:23 GMT 2025","Wed Mar 19 19:29:24 GMT 2025","1375","Mobile Safari","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 19:29:15 GMT 2025","Wed Mar 19 19:29:16 GMT 2025","1516","firefox","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 19:29:20 GMT 2025","Wed Mar 19 19:29:20 GMT 2025","477","Mobile Chrome","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 19:29:13 GMT 2025","Wed Mar 19 19:29:14 GMT 2025","576","chromium","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 19:29:21 GMT 2025","Wed Mar 19 19:29:22 GMT 2025","785","Mobile Safari","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 19:29:23 GMT 2025","Wed Mar 19 19:29:23 GMT 2025","683","Microsoft Edge","example.spec.js","","","","Test#1 | has title",""
