"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 19 19:42:30 GMT 2025","Wed Mar 19 19:42:33 GMT 2025","3141","Google Chrome","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 19:42:22 GMT 2025","Wed Mar 19 19:42:23 GMT 2025","702","webkit","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 19:42:23 GMT 2025","Wed Mar 19 19:42:25 GMT 2025","1480","webkit","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 19:42:17 GMT 2025","Wed Mar 19 19:42:18 GMT 2025","536","chromium","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 19:42:17 GMT 2025","Wed Mar 19 19:42:18 GMT 2025","361","chromium","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 19:42:24 GMT 2025","Wed Mar 19 19:42:25 GMT 2025","556","Mobile Chrome","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 19:42:31 GMT 2025","Wed Mar 19 19:42:34 GMT 2025","3485","Google Chrome","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 19:42:26 GMT 2025","Wed Mar 19 19:42:28 GMT 2025","1725","Mobile Safari","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 19:42:26 GMT 2025","Wed Mar 19 19:42:27 GMT 2025","1029","Mobile Safari","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 19:42:24 GMT 2025","Wed Mar 19 19:42:24 GMT 2025","442","Mobile Chrome","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 19:42:19 GMT 2025","Wed Mar 19 19:42:20 GMT 2025","1444","firefox","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 19:42:28 GMT 2025","Wed Mar 19 19:42:29 GMT 2025","634","Microsoft Edge","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 19:42:19 GMT 2025","Wed Mar 19 19:42:21 GMT 2025","2141","firefox","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 19:42:29 GMT 2025","Wed Mar 19 19:42:30 GMT 2025","763","Microsoft Edge","example.spec.js","","","","Test#2 | get started link",""
