"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 19 20:53:37 GMT 2025","Wed Mar 19 20:53:39 GMT 2025","2507","firefox","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 20:53:49 GMT 2025","Wed Mar 19 20:53:50 GMT 2025","570","Mobile Chrome","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 20:53:55 GMT 2025","Wed Mar 19 20:53:56 GMT 2025","1188","Microsoft Edge","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 20:53:57 GMT 2025","Wed Mar 19 20:53:58 GMT 2025","806","Google Chrome","example.spec.js","","","","Test#2 | get started link",""
"failed","Wed Mar 19 20:53:46 GMT 2025","Wed Mar 19 20:53:52 GMT 2025","5895","webkit","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 20:53:53 GMT 2025","Wed Mar 19 20:53:54 GMT 2025","1075","Mobile Safari","example.spec.js","","","","Test#2 | get started link",""
"failed","Wed Mar 19 20:53:57 GMT 2025","Wed Mar 19 20:54:03 GMT 2025","5956","Mobile Safari","example.spec.js","","","","Test#1 | has title",""
"failed","Wed Mar 19 20:53:49 GMT 2025","Wed Mar 19 20:53:55 GMT 2025","5666","Mobile Chrome","example.spec.js","","","","Test#1 | has title",""
"failed","Wed Mar 19 20:54:02 GMT 2025","Wed Mar 19 20:54:07 GMT 2025","5580","Microsoft Edge","example.spec.js","","","","Test#1 | has title",""
"failed","Wed Mar 19 20:53:46 GMT 2025","Wed Mar 19 20:53:53 GMT 2025","6616","firefox","example.spec.js","","","","Test#1 | has title",""
"failed","Wed Mar 19 20:54:03 GMT 2025","Wed Mar 19 20:54:09 GMT 2025","5473","Google Chrome","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 20:53:37 GMT 2025","Wed Mar 19 20:53:37 GMT 2025","776","chromium","example.spec.js","","","","Test#2 | get started link",""
"failed","Wed Mar 19 20:53:43 GMT 2025","Wed Mar 19 20:53:48 GMT 2025","5453","chromium","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 20:53:41 GMT 2025","Wed Mar 19 20:53:42 GMT 2025","1026","webkit","example.spec.js","","","","Test#2 | get started link",""
