"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 19 20:34:24 GMT 2025","Wed Mar 19 20:34:24 GMT 2025","527","chromium","example.spec.js","","","","Test#2 | get started link",""
"failed","Wed Mar 19 20:35:23 GMT 2025","Wed Mar 19 20:35:28 GMT 2025","5419","Microsoft Edge","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 20:35:24 GMT 2025","Wed Mar 19 20:35:25 GMT 2025","636","Microsoft Edge","example.spec.js","","","","Test#2 | get started link",""
"failed","Wed Mar 19 20:34:41 GMT 2025","Wed Mar 19 20:34:47 GMT 2025","6236","firefox","example.spec.js","","","","Test#1 | has title",""
"failed","Wed Mar 19 20:34:36 GMT 2025","Wed Mar 19 20:34:41 GMT 2025","5255","chromium","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 20:34:48 GMT 2025","Wed Mar 19 20:34:49 GMT 2025","1006","webkit","example.spec.js","","","","Test#2 | get started link",""
"failed","Wed Mar 19 20:35:38 GMT 2025","Wed Mar 19 20:35:44 GMT 2025","5287","Google Chrome","example.spec.js","","","","Test#1 | has title",""
"failed","Wed Mar 19 20:35:18 GMT 2025","Wed Mar 19 20:35:24 GMT 2025","5522","Mobile Safari","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 20:34:42 GMT 2025","Wed Mar 19 20:34:44 GMT 2025","1449","firefox","example.spec.js","","","","Test#2 | get started link",""
"failed","Wed Mar 19 20:35:02 GMT 2025","Wed Mar 19 20:35:07 GMT 2025","5225","Mobile Chrome","example.spec.js","","","","Test#1 | has title",""
"passed","Wed Mar 19 20:35:29 GMT 2025","Wed Mar 19 20:35:30 GMT 2025","541","Google Chrome","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 20:35:04 GMT 2025","Wed Mar 19 20:35:05 GMT 2025","388","Mobile Chrome","example.spec.js","","","","Test#2 | get started link",""
"passed","Wed Mar 19 20:35:08 GMT 2025","Wed Mar 19 20:35:09 GMT 2025","867","Mobile Safari","example.spec.js","","","","Test#2 | get started link",""
"failed","Wed Mar 19 20:34:58 GMT 2025","Wed Mar 19 20:35:04 GMT 2025","5546","webkit","example.spec.js","","","","Test#1 | has title",""
